region,csat,percent,expense,income,high,college
South,991,8,3627,27.498,66.9,15.7
West,920,41,8330,48.254,86.6,23.0
West,932,26,4309,32.093,78.7,20.3
South,1005,6,3700,24.643,66.3,13.3
West,897,47,4491,41.716,76.2,23.4
West,959,29,5064,35.123,84.4,27.0
N. East,897,81,7602,48.618,79.2,27.2
South,892,61,5865,40.641,77.5,21.4
,840,71,9259,35.807,73.1,33.3
South,882,48,5276,32.027,74.4,18.3
South,844,62,4466,33.819,70.9,19.3
West,883,55,5166,45.248,80.1,22.9
West,968,18,3386,29.433,79.7,17.7
Midwest,1006,16,5520,37.854,76.2,21.0
Midwest,865,57,4930,33.558,75.6,15.6
Midwest,1093,5,4679,30.565,80.1,16.9
Midwest,1039,10,4874,31.803,81.3,21.1
South,993,11,4354,26.259,64.6,13.6
South,994,9,4146,25.578,68.3,16.1
N. East,879,64,5458,32.459,78.8,18.8
South,904,64,6566,45.897,78.4,26.5
N. East,896,79,6366,43.061,80.0,27.2
Midwest,980,11,5883,36.148,76.8,17.4
Midwest,1023,12,5239,36.019,82.4,21.8
South,997,4,3187,23.465,64.3,14.7
Midwest,1002,12,4754,30.72,73.9,17.8
West,982,22,5204,26.788,81.0,19.8
Midwest,1024,10,5038,30.317,81.8,18.9
West,919,25,4653,36.138,78.8,15.3
N. East,921,75,5672,42.335,82.2,24.4
N. East,886,74,8645,47.693,76.7,24.9
West,996,12,3895,28.069,75.1,20.4
N. East,881,75,8565,38.415,76.7,23.1
South,844,57,4488,31.052,70.0,17.4
Midwest,1073,6,4199,27.051,76.7,18.1
Midwest,946,22,5245,33.452,75.7,17.0
South,997,9,3791,27.475,74.6,17.8
West,922,54,5683,31.755,81.5,20.6
N. East,876,67,6541,33.875,74.7,17.9
N. East,880,67,6343,37.501,72.0,21.3
South,832,58,4351,30.597,68.3,16.6
Midwest,1047,5,3965,26.223,77.1,17.2
South,1015,12,3782,28.908,67.1,16.0
South,874,44,4438,31.482,72.1,20.3
West,1031,5,2960,34.342,85.1,22.3
N. East,890,68,6738,34.717,80.8,24.3
South,890,60,4836,38.838,75.2,24.5
West,913,49,5000,36.338,83.8,22.9
South,926,17,4911,24.233,66.0,12.3
Midwest,1023,11,5871,34.309,78.6,17.7
West,980,13,5723,31.576,83.0,18.8
